module,total_files,candidate_files,high_priority_files,mid_priority_files,candidate_ratio,file_path,file_priority,why_candidate
registration,145,70,10,60,48.3%,registration/include/pcl/registration/transformation_estimation_2D.h,mid,存在可向量化路径（循环0，数学项12），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/transformation_estimation_3point.h,mid,存在可向量化路径（循环0，数学项0），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/transformation_estimation_dual_quaternion.h,mid,存在可向量化路径（循环0，数学项0），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/transformation_estimation_lm.h,mid,存在可向量化路径（循环0，数学项14），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/transformation_estimation_point_to_plane_lls.h,mid,存在可向量化路径（循环0，数学项4），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/transformation_estimation_point_to_plane_lls_weighted.h,mid,存在可向量化路径（循环0，数学项4），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/transformation_estimation_point_to_plane_weighted.h,mid,存在可向量化路径（循环0，数学项12），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/transformation_estimation_svd.h,mid,存在可向量化路径（循环0，数学项17），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/transformation_estimation_symmetric_point_to_plane_lls.h,mid,存在可向量化路径（循环0，数学项5），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/transformation_validation_euclidean.h,mid,存在可向量化路径（循环0，数学项5），建议次优先
surface,346,51,11,40,14.7%,surface/include/pcl/surface/impl/gp3.hpp,high,循环41处，数学/几何计算密集，建议优先优化
surface,346,51,11,40,14.7%,surface/include/pcl/surface/impl/grid_projection.hpp,high,循环29处，数学/几何计算密集，建议优先优化
surface,346,51,11,40,14.7%,surface/include/pcl/surface/impl/mls.hpp,high,循环24处，数学/几何计算密集，建议优先优化
surface,346,51,11,40,14.7%,surface/include/pcl/surface/impl/texture_mapping.hpp,high,循环30处，数学/几何计算密集，建议优先优化
surface,346,51,11,40,14.7%,surface/src/on_nurbs/fitting_curve_2d_apdm.cpp,high,循环35处，数学/几何计算密集，建议优先优化
surface,346,51,11,40,14.7%,surface/src/on_nurbs/fitting_curve_2d_pdm.cpp,high,循环27处，数学/几何计算密集，建议优先优化
surface,346,51,11,40,14.7%,surface/src/on_nurbs/fitting_cylinder_pdm.cpp,high,循环26处，数学/几何计算密集，建议优先优化
surface,346,51,11,40,14.7%,surface/src/on_nurbs/fitting_surface_pdm.cpp,high,循环52处，数学/几何计算密集，建议优先优化
surface,346,51,11,40,14.7%,surface/src/on_nurbs/global_optimization_tdm.cpp,high,循环34处，数学/几何计算密集，建议优先优化
surface,346,51,11,40,14.7%,surface/src/on_nurbs/triangulation.cpp,high,循环25处，数学/几何计算密集，建议优先优化
surface,346,51,11,40,14.7%,surface/src/vtk_smoothing/vtk_utils.cpp,high,循环10处，数学/几何计算密集，建议优先优化
surface,346,51,11,40,14.7%,surface/include/pcl/surface/bilateral_upsampling.h,mid,存在可向量化路径（循环0，数学项12），建议次优先
surface,346,51,11,40,14.7%,surface/include/pcl/surface/convex_hull.h,mid,存在可向量化路径（循环0，数学项8），建议次优先
surface,346,51,11,40,14.7%,surface/include/pcl/surface/gp3.h,mid,存在可向量化路径（循环0，数学项47），建议次优先
surface,346,51,11,40,14.7%,surface/include/pcl/surface/grid_projection.h,mid,存在可向量化路径（循环2，数学项70），建议次优先
surface,346,51,11,40,14.7%,surface/include/pcl/surface/impl/bilateral_upsampling.hpp,mid,存在可向量化路径（循环9，数学项13），建议次优先
surface,346,51,11,40,14.7%,surface/include/pcl/surface/impl/concave_hull.hpp,mid,存在可向量化路径（循环9，数学项11），建议次优先
surface,346,51,11,40,14.7%,surface/include/pcl/surface/impl/convex_hull.hpp,mid,存在可向量化路径（循环8，数学项20），建议次优先
surface,346,51,11,40,14.7%,surface/include/pcl/surface/impl/marching_cubes.hpp,mid,存在可向量化路径（循环8，数学项24），建议次优先
surface,346,51,11,40,14.7%,surface/include/pcl/surface/impl/marching_cubes_hoppe.hpp,mid,存在可向量化路径（循环3，数学项10），建议次优先
surface,346,51,11,40,14.7%,surface/include/pcl/surface/impl/marching_cubes_rbf.hpp,mid,存在可向量化路径（循环7，数学项18），建议次优先
surface,346,51,11,40,14.7%,surface/include/pcl/surface/impl/organized_fast_mesh.hpp,mid,存在可向量化路径（循环9，数学项1），建议次优先
surface,346,51,11,40,14.7%,surface/include/pcl/surface/impl/poisson.hpp,mid,存在可向量化路径（循环8，数学项38），建议次优先
surface,346,51,11,40,14.7%,surface/include/pcl/surface/impl/surfel_smoothing.hpp,mid,存在可向量化路径（循环12，数学项21），建议次优先
surface,346,51,11,40,14.7%,surface/include/pcl/surface/marching_cubes.h,mid,存在可向量化路径（循环0，数学项13），建议次优先
surface,346,51,11,40,14.7%,surface/include/pcl/surface/marching_cubes_hoppe.h,mid,存在可向量化路径（循环0，数学项10），建议次优先
surface,346,51,11,40,14.7%,surface/include/pcl/surface/mls.h,mid,存在可向量化路径（循环2，数学项75），建议次优先
surface,346,51,11,40,14.7%,surface/include/pcl/surface/organized_fast_mesh.h,mid,存在可向量化路径（循环1，数学项52），建议次优先
surface,346,51,11,40,14.7%,surface/include/pcl/surface/poisson.h,mid,存在可向量化路径（循环0，数学项9），建议次优先
surface,346,51,11,40,14.7%,surface/include/pcl/surface/processing.h,mid,存在可向量化路径（循环0，数学项7），建议次优先
surface,346,51,11,40,14.7%,surface/include/pcl/surface/reconstruction.h,mid,存在可向量化路径（循环0，数学项5），建议次优先
surface,346,51,11,40,14.7%,surface/include/pcl/surface/texture_mapping.h,mid,存在可向量化路径（循环0，数学项40），建议次优先
surface,346,51,11,40,14.7%,surface/src/ear_clipping.cpp,mid,存在可向量化路径（循环5，数学项26），建议次优先
surface,346,51,11,40,14.7%,surface/src/on_nurbs/closing_boundary.cpp,mid,存在可向量化路径（循环18，数学项103），建议次优先
surface,346,51,11,40,14.7%,surface/src/on_nurbs/fitting_curve_2d.cpp,mid,存在可向量化路径（循环23，数学项104），建议次优先
surface,346,51,11,40,14.7%,surface/src/on_nurbs/fitting_curve_2d_asdm.cpp,mid,存在可向量化路径（循环9，数学项40），建议次优先
surface,346,51,11,40,14.7%,surface/src/on_nurbs/fitting_curve_2d_atdm.cpp,mid,存在可向量化路径（循环8，数学项26），建议次优先
surface,346,51,11,40,14.7%,surface/src/on_nurbs/fitting_curve_2d_sdm.cpp,mid,存在可向量化路径（循环8，数学项22），建议次优先
surface,346,51,11,40,14.7%,surface/src/on_nurbs/fitting_curve_2d_tdm.cpp,mid,存在可向量化路径（循环6，数学项10），建议次优先
surface,346,51,11,40,14.7%,surface/src/on_nurbs/fitting_curve_pdm.cpp,mid,存在可向量化路径（循环15，数学项49），建议次优先
surface,346,51,11,40,14.7%,surface/src/on_nurbs/fitting_sphere_pdm.cpp,mid,存在可向量化路径（循环23，数学项55），建议次优先
surface,346,51,11,40,14.7%,surface/src/on_nurbs/fitting_surface_im.cpp,mid,存在可向量化路径（循环23，数学项52），建议次优先
surface,346,51,11,40,14.7%,surface/src/on_nurbs/fitting_surface_tdm.cpp,mid,存在可向量化路径（循环9，数学项12），建议次优先
surface,346,51,11,40,14.7%,surface/src/on_nurbs/global_optimization_pdm.cpp,mid,存在可向量化路径（循环23，数学项112），建议次优先
surface,346,51,11,40,14.7%,surface/src/on_nurbs/nurbs_solve_eigen.cpp,mid,存在可向量化路径（循环6，数学项14），建议次优先
surface,346,51,11,40,14.7%,surface/src/on_nurbs/nurbs_solve_eigen_sparse.cpp,mid,存在可向量化路径（循环3，数学项44），建议次优先
surface,346,51,11,40,14.7%,surface/src/on_nurbs/nurbs_solve_umfpack.cpp,mid,存在可向量化路径（循环14，数学项5），建议次优先
surface,346,51,11,40,14.7%,surface/src/on_nurbs/nurbs_tools.cpp,mid,存在可向量化路径（循环16，数学项57），建议次优先
surface,346,51,11,40,14.7%,surface/src/on_nurbs/sequential_fitter.cpp,mid,存在可向量化路径（循环9，数学项90），建议次优先
surface,346,51,11,40,14.7%,surface/src/on_nurbs/sparse_mat.cpp,mid,存在可向量化路径（循环9，数学项0），建议次优先
surface,346,51,11,40,14.7%,surface/src/simplification_remove_unused_vertices.cpp,mid,存在可向量化路径（循环5，数学项2），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/convolution.hpp,high,循环52处，滤波/统计计算密集，建议优先优化
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/voxel_grid.hpp,high,循环20处，滤波/统计计算密集，建议优先优化
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/voxel_grid_covariance.hpp,high,循环6处，滤波/统计计算密集，建议优先优化
filters,109,76,6,70,69.7%,filters/include/pcl/filters/voxel_grid.h,high,循环6处，滤波/统计计算密集，建议优先优化
filters,109,76,6,70,69.7%,filters/include/pcl/filters/voxel_grid_covariance.h,high,循环2处，滤波/统计计算密集，建议优先优化
filters,109,76,6,70,69.7%,filters/src/voxel_grid_label.cpp,high,循环8处，滤波/统计计算密集，建议优先优化
filters,109,76,6,70,69.7%,filters/include/pcl/filters/approximate_voxel_grid.h,mid,存在可向量化路径（循环2，数学项31），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/bilateral.h,mid,存在可向量化路径（循环0，数学项28），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/box_clipper3D.h,mid,存在可向量化路径（循环0，数学项12），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/conditional_removal.h,mid,存在可向量化路径（循环0，数学项29），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/convolution.h,mid,存在可向量化路径（循环0，数学项27），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/convolution_3d.h,mid,存在可向量化路径（循环0，数学项4），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/covariance_sampling.h,mid,存在可向量化路径（循环0，数学项11），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/crop_box.h,mid,存在可向量化路径（循环0，数学项49），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/crop_hull.h,mid,存在可向量化路径（循环0，数学项21），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/extract_indices.h,mid,存在可向量化路径（循环0，数学项19），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/fast_bilateral.h,mid,存在可向量化路径（循环0，数学项36），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/fast_bilateral_omp.h,mid,存在可向量化路径（循环0，数学项7），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/filter.h,mid,存在可向量化路径（循环0，数学项19），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/filter_indices.h,mid,存在可向量化路径（循环0，数学项37），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/frustum_culling.h,mid,存在可向量化路径（循环0，数学项22），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/grid_minimum.h,mid,存在可向量化路径（循环0，数学项5），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/approximate_voxel_grid.hpp,mid,存在可向量化路径（循环3，数学项5），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/bilateral.hpp,mid,存在可向量化路径（循环2，数学项5），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/box_clipper3D.hpp,mid,存在可向量化路径（循环2，数学项18），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/conditional_removal.hpp,mid,存在可向量化路径（循环15，数学项6），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/convolution_3d.hpp,mid,存在可向量化路径（循环3，数学项5），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/covariance_sampling.hpp,mid,存在可向量化路径（循环15，数学项30），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/crop_box.hpp,mid,存在可向量化路径（循环1，数学项7），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/crop_hull.hpp,mid,存在可向量化路径（循环8，数学项34），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/extract_indices.hpp,mid,存在可向量化路径（循环4，数学项1），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/farthest_point_sampling.hpp,mid,存在可向量化路径（循环3，数学项4），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/fast_bilateral.hpp,mid,存在可向量化路径（循环14，数学项6），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/fast_bilateral_omp.hpp,mid,存在可向量化路径（循环12，数学项5），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/filter.hpp,mid,存在可向量化路径（循环3，数学项1），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/filter_indices.hpp,mid,存在可向量化路径（循环3，数学项1），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/frustum_culling.hpp,mid,存在可向量化路径（循环1，数学项45），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/grid_minimum.hpp,mid,存在可向量化路径（循环5，数学项5），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/local_maximum.hpp,mid,存在可向量化路径（循环3，数学项3），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/median_filter.hpp,mid,存在可向量化路径（循环4，数学项0），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/model_outlier_removal.hpp,mid,存在可向量化路径（循环2，数学项12），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/morphological_filter.hpp,mid,存在可向量化路径（循环3，数学项13），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/normal_space.hpp,mid,存在可向量化路径（循环9，数学项7），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/passthrough.hpp,mid,存在可向量化路径（循环2，数学项4），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/plane_clipper3D.hpp,mid,存在可向量化路径（循环6，数学项20），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/project_inliers.hpp,mid,存在可向量化路径（循环1，数学项9），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/pyramid.hpp,mid,存在可向量化路径（循环10，数学项3），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/radius_outlier_removal.hpp,mid,存在可向量化路径（循环3，数学项5），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/sampling_surface_normal.hpp,mid,存在可向量化路径（循环5，数学项49），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/shadowpoints.hpp,mid,存在可向量化路径（循环2，数学项8），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/statistical_outlier_removal.hpp,mid,存在可向量化路径（循环4，数学项12），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/uniform_sampling.hpp,mid,存在可向量化路径（循环2，数学项10），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/impl/voxel_grid_occlusion_estimation.hpp,mid,存在可向量化路径（循环5，数学项69），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/median_filter.h,mid,存在可向量化路径（循环0，数学项12），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/model_outlier_removal.h,mid,存在可向量化路径（循环2，数学项18），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/normal_refinement.h,mid,存在可向量化路径（循环2，数学项39），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/normal_space.h,mid,存在可向量化路径（循环0，数学项5），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/passthrough.h,mid,存在可向量化路径（循环0，数学项13），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/plane_clipper3D.h,mid,存在可向量化路径（循环0，数学项8），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/project_inliers.h,mid,存在可向量化路径（循环0，数学项10），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/pyramid.h,mid,存在可向量化路径（循环0，数学项6），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/radius_outlier_removal.h,mid,存在可向量化路径（循环0，数学项10），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/sampling_surface_normal.h,mid,存在可向量化路径（循环0，数学项30），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/statistical_outlier_removal.h,mid,存在可向量化路径（循环0，数学项25），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/uniform_sampling.h,mid,存在可向量化路径（循环0，数学项24），建议次优先
filters,109,76,6,70,69.7%,filters/include/pcl/filters/voxel_grid_occlusion_estimation.h,mid,存在可向量化路径（循环0，数学项67），建议次优先
filters,109,76,6,70,69.7%,filters/src/convolution.cpp,mid,存在可向量化路径（循环6，数学项9），建议次优先
filters,109,76,6,70,69.7%,filters/src/crop_box.cpp,mid,存在可向量化路径（循环4，数学项8），建议次优先
filters,109,76,6,70,69.7%,filters/src/extract_indices.cpp,mid,存在可向量化路径（循环10，数学项2），建议次优先
filters,109,76,6,70,69.7%,filters/src/passthrough.cpp,mid,存在可向量化路径（循环5，数学项16），建议次优先
filters,109,76,6,70,69.7%,filters/src/project_inliers.cpp,mid,存在可向量化路径（循环5，数学项11），建议次优先
filters,109,76,6,70,69.7%,filters/src/pyramid.cpp,mid,存在可向量化路径（循环30，数学项0），建议次优先
filters,109,76,6,70,69.7%,filters/src/radius_outlier_removal.cpp,mid,存在可向量化路径（循环3，数学项7），建议次优先
filters,109,76,6,70,69.7%,filters/src/random_sample.cpp,mid,存在可向量化路径（循环5，数学项1），建议次优先
filters,109,76,6,70,69.7%,filters/src/statistical_outlier_removal.cpp,mid,存在可向量化路径（循环5，数学项17），建议次优先
filters,109,76,6,70,69.7%,filters/src/voxel_grid.cpp,mid,存在可向量化路径（循环13，数学项27），建议次优先
io,151,59,11,48,39.1%,io/include/pcl/compression/impl/entropy_range_coder.hpp,high,循环38处，编解码/IO转换计算密集，建议优先优化
io,151,59,11,48,39.1%,io/include/pcl/io/impl/point_cloud_image_extractors.hpp,high,循环10处，编解码/IO转换计算密集，建议优先优化
io,151,59,11,48,39.1%,io/include/pcl/io/impl/vtk_lib_io.hpp,high,循环29处，编解码/IO转换计算密集，建议优先优化
io,151,59,11,48,39.1%,io/src/debayer.cpp,high,循环12处，编解码/IO转换计算密集，建议优先优化
io,151,59,11,48,39.1%,io/src/obj_io.cpp,high,循环49处，编解码/IO转换计算密集，建议优先优化
io,151,59,11,48,39.1%,io/src/openni2_grabber.cpp,high,循环10处，编解码/IO转换计算密集，建议优先优化
io,151,59,11,48,39.1%,io/src/openni_camera/openni_device.cpp,high,循环11处，编解码/IO转换计算密集，建议优先优化
io,151,59,11,48,39.1%,io/src/openni_grabber.cpp,high,循环10处，编解码/IO转换计算密集，建议优先优化
io,151,59,11,48,39.1%,io/src/pcd_io.cpp,high,循环31处，编解码/IO转换计算密集，建议优先优化
